"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"152","RT @TheBoiledPnuts: Working the @katyperry pop up has me turned into a katycat for 9 lives #kpwww https://t.co/ob1efJkJZl",FALSE,0,NA,2017-06-15 23:29:45,FALSE,NA,"875495572970414080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",247,TRUE,FALSE,NA,NA
"153","RT @Krystan_Brooks: Come play with all the Katy cats and WITNESS surprise merch at the @katyperry pop up store <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+00BB> #KPWWW https://t.co/FN97d…",FALSE,0,NA,2017-06-15 22:24:04,FALSE,NA,"875479044552138752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",255,TRUE,FALSE,NA,NA
"154","RT @hrhjesus: We couldn't wait to #witness @KatyPerry on tour so we had to come get a little preview at #KPWWW HQ <ed><U+00A0><U+00BD><ed><U+00B1><U+0081><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/MiAf1cwZn0",FALSE,0,NA,2017-06-15 22:23:49,FALSE,NA,"875478979917959168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",258,TRUE,FALSE,NA,NA
"155","RT @KatycatTeagan: @katyperry I'm living for this merch <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> will it be available at #Witness tour? #KPWWW https://t.co/uuiiPzvVQr",FALSE,0,NA,2017-06-15 21:58:03,FALSE,NA,"875472498422300672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",330,TRUE,FALSE,NA,NA
"156","RT @yittledez: Drove 226 miles. IM HERE. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> @katyperry #KatyPerry #KatyCats #WITNESS #KPWWW @AwkwardAya @CapitolRecords https://t.co/YPoSL3N…",FALSE,0,NA,2017-06-15 20:23:46,FALSE,NA,"875448768241451008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",369,TRUE,FALSE,NA,NA
"157","RT @deIreyperry: I'M HERE #KPWWW #Witness @katyperry https://t.co/OfDg1BtbUN",FALSE,0,NA,2017-06-15 20:22:24,FALSE,NA,"875448424169996288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",310,TRUE,FALSE,NA,NA
"158","RT @alechuerta: .@katyperry I had to bling out my Bon Appétit hat with my new pins from the pop up! #KPWWW https://t.co/6x7TOv4BwN",FALSE,0,NA,2017-06-15 20:22:06,FALSE,NA,"875448348739686401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",372,TRUE,FALSE,NA,NA
"159","RT @deIreyperry: I wanna move here!!!#KPWWW #Witness @katyperry https://t.co/ld6jzxup6V",FALSE,0,NA,2017-06-15 20:21:40,FALSE,NA,"875448243596820481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",249,TRUE,FALSE,NA,NA
"160","RT @almostanart: @AwkwardAya thanks for being so nice and talking to me!! #KPWWW @katyperry https://t.co/I8cv7Hw3RU",FALSE,0,NA,2017-06-15 20:21:14,FALSE,NA,"875448134054195200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",244,TRUE,FALSE,NA,NA
"161","RT @x_lauren4_x: Had so much fun #KPWWW ... Thank You @AwkwardAya for taking a pic with me... <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+0096> @katyperry https://t.co/6Br8Yjre03",FALSE,0,NA,2017-06-15 20:20:17,FALSE,NA,"875447891795468288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",244,TRUE,FALSE,NA,NA
"162","Couldn't have done it without all of the fantastic ppl that came over to help start conversations... I am grateful… https://t.co/S7BrNg89My",FALSE,9909,NA,2017-06-15 18:35:52,TRUE,NA,"875421616418594816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",2357,FALSE,FALSE,NA,NA
"163","Visit the pop-up store and see #KPWWW HQ @kimsingtheatre (718 N Figueroa St, Los Angeles, CA 90012) today &amp; tomorro… https://t.co/Dxjqx7xPaM",FALSE,4391,NA,2017-06-15 18:29:07,TRUE,NA,"875419917763305473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",932,FALSE,FALSE,NA,NA
"164","AS SEEN ON #KPWWW: your chance to #WitnessTheTour up close and personal by supporting the @LynchFoundation… https://t.co/n9MdS6zuCf",FALSE,6042,NA,2017-06-15 16:14:15,TRUE,NA,"875385976062754816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",1515,FALSE,FALSE,NA,NA
"165","All the music, all the fun, all the witnessing x2! Paris &amp; Amsterdam, tix for new shows available now <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3><ed><U+00A0><U+00BC><ed><U+00B7><U+00B1>… https://t.co/bsRTRuYH7F",FALSE,7241,NA,2017-06-15 08:03:16,TRUE,NA,"875262418892472320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",1425,FALSE,FALSE,NA,NA
"166","Took the fam to see #wonderwoman after dad's 70th birthday dinner. LOVE what this film stands… https://t.co/Sg3BVORzTJ",FALSE,6225,NA,2017-06-15 06:20:44,FALSE,NA,"875236612518629376",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","katyperry",1305,FALSE,FALSE,NA,NA
